id,food category,scientific name,family,popular name,occurrence by region,conservation status,origin,commercial cultivation,availability of nutritional composition data,number of recipes (POF/IBGE),number of recipes - other sources
84,wild animals,Chelonoidis carbonaria,Testudinidae,Jabuti-piranga,"SP, RJ, PI",Data Deficient (DD),Native,No,Does not exist,1,2
85,wild animals,Cuniculus paca,Cuniculidae,Paca,"RS, PR, SP, RJ, MG, ES, MS, MT, BA, MA, AM, RO",Least Concern (LC),Native,Yes ,Does not exist,1,17
86,wild animals,Chelonoidis denticulata,Testudinidae,Jabuti-tinga,"SC, SP, RJ, MS, MT, BA, MA, TO, PA, AP, AM, RO, RR, AC",Data Deficient (DD),Native,No,Does not exist,1,2
87,wild animals,Hydrochoerus hydrochaeris,Caviidae,Capivara,"RS, SC, PR, SP, RJ, MG, ES, MS, GO, DF, MT, PA, RN, MA, AM, RO",Least Concern (LC),Native,No,"Yes, by common name",1,10
88,wild animals,Dasypus novemcinctus,Dasypodidae,Tatu-galinha,"RS, SC, PR, SP, RJ, MG, ES, MS, GO, MT, BA, RN, CE, PI, MA, PA, RO",Least Concern (LC),Resident,No,Does not exist,0,0
89,wild animals,Euphractus sexcinctus,Chlamyphoridae,Tatu-peba,"RS, PR, SP, RJ, MG, ES, MS, GO, MT, BA, PI, RN, CE, MA, PA, MT, AM ",Least Concern (LC),Native,No,Does not exist,0,0
90,wild animals,Columbina talpacoti,Columbidae,Rolinha-roxa,Todos,Least Concern (LC),Resident,No,Does not exist,0,7
91,wild animals,Pecari tajacu,Tayassuidae,Cateto,"PR, SP, RJ, MG, MS, MT, BA, CE, MA, PA, AM, RO",Least Concern (LC),Resident,No,Does not exist,0,0
92,wild animals,Paleosuchus trigonatus,Alligatoridae,Jacaré-coroa,Não disponível,Data Deficient (DD),Native,No,"Yes, by common name",3,19
93,wild animals,Tapirus terrestris,Tapiridae,Anta ou tapir,"PR, SP, RJ, MG, MS, GO, MT, BA, MA, PA, AM, RO",Vulnerable (VU),Native,No,"Yes, at the species level",0,16
94,wild animals,Caiman yacare,Alligatoridae,Jacaré-do-pantanal,"MS, MT",Least Concern (LC),Native,Yes ,"Yes, at the species level",3,0
95,wild animals,Tayassu pecari,Tayassuidae,Queixada,"PR, SP, RJ, MG, MS, MT, PI, PA, RO",Least Concern (LC),Native,No,"Yes, at the genus level",0,32
96,wild animals,Podocnemis sextuberculata,Podocnemididae,Tartaruga-da-amazônia,AM,Vulnerable (VU),Native,No,"Yes, at the species level",0,3
97,wild animals,Cavia aperea,Caviidae,Preá,"RS, PR, SP, RJ, MG, MS, GO, MT, PI, BA,CE,",Least Concern (LC),Native,No,Does not exist,0,8
98,wild animals,Mazama gouazoubira,Cervidae,Veado-catingueiro,"RS, SC, PR, SP, RJ, MG, MS, DF, MT, BA,CE, MA, PA, RO, AM",Least Concern (LC),Native,No,"Yes, at the genus level",0,0
99,wild animals,Panthera onca,Felidae,Onça-pintada,"SP, RJ, MG, ES, MS, MT, GO, MA, PA, RO, AM",Least Concern (LC),Native,No,Does not exist,0,3
100,mushrooms,Agaricus bisporus (J.E. Lange) Imbach,Agaricaceae,"champignon, champignon de Paris, portobello",Não disponível,Not Evaluated (NE),Exotic,Yes ,"Yes, at the species level",1,2846
101,mushrooms,Pleurotus ostreatus (Jacq.) P.Kumm,Pleurotaceae,"shimeji, hiratake","AM, PA, PE, PR, RS",Not Evaluated (NE),Exotic,Yes ,"Yes, at the genus level",0,332
102,mushrooms,Lentinula edodes (Berk.) Pegler (1976),Omphalotaceae,shitake,RS,Data Deficient (DD),Exotic,Yes ,Does not exist,0,516
103,mushrooms,Hypsizygus marmoreus (Peck) H.E. Bigelow (1976),Lyophyllaceae,shimeji verdadeiro,Não disponível,Data Deficient (DD),Exotic,Yes ,Does not exist,0,0
104,mushrooms,Pleurotus eryngii (DC.) Quél. 1872,Pleurotaceae,"eryngii, ostra-rei",MS,Data Deficient (DD),Exotic,Yes ,"Yes, at the genus level",0,0
105,mushrooms,Flammulina velutipes (Curtis) Singer (1951),Physalacriaceae,"enoki, enokitake, enokidake",Não disponível,Least Concern (LC),Exotic,Yes ,Does not exist,0,1
106,mushrooms,"Pholiota nameko (T. Ito) S. Ito & S. Imai, Bot. Mag.  (1933)",Strophariaceae,nameko,Não disponível,Data Deficient (DD),Exotic,Yes ,Does not exist,0,2
107,mushrooms,Hericium erinaceus (Bull.) Pers. (1797),Hericiaceae,juba de leão,Não disponível,Least Concern (LC),Exotic,Yes ,Does not exist,0,0
108,mushrooms,Pleurotus djamor (Rumph. ex Fr.) Boedijn (1959),Pleurotaceae,"cogumelo-ostra rosa, shimeji rosa","AM, AP, MS, MT, PA, PB, PE, PR, RJ, RO, RS, SC, SP, TO",Data Deficient (DD),Naturally occurring,Yes ,"Yes, at the genus level",0,0
109,mushrooms,Pleurotus citrinopileatus Singer (1943),Pleurotaceae,"cogumelo-ostra-dourado, shimeji dourado",Não disponível,Data Deficient (DD),Exotic,Yes ,"Yes, at the genus level",0,0
110,mushrooms,Pleurotus pulmonarius (Fr.) Quél. (1872),Pleurotaceae,"cogumelo-ostra marrom, shimeji marrom","MS, PR, RS, SP",Not Evaluated (NE),Naturally occurring,Yes ,"Yes, at the genus level",0,1
111,mushrooms,Pleurotus sajor-caju (Fr.) Singer  (1951),Pleurotaceae,"houbitake, hiratake marrom, shimeji marrom",Não disponível,Not Evaluated (NE),Exotic,Yes ,"Yes, at the genus level",0,2
112,mushrooms,Auricularia cornea Ehrenb.,Auriculariaceae,orelha-da-mata,"AC, CE, DF, GO, MA, PB, PE, PR, RS, SP",Not Evaluated (NE),Naturally occurring,Yes ,Does not exist,0,0
113,mushrooms,Favolus brasiliensis (Fr.) Fr.,Polyporaceae,fungo favo-de-abelha,"AM, BA, MG, MT, PA, PR, RJ, RO, RS, SC, SP",Not Evaluated (NE),Native,No,Does not exist,0,0
114,mushrooms,Irpex rosettiformis C.C. Chen & Sheng H. Wu,Irpicaceae,leque-de-anjo,"AC, AM, BA, GO, MS, MT, PR, RO, RS, SC, SP",Data Deficient (DD),Native,No,Does not exist,0,0
115,mushrooms,"Macrocybe titans (H.E. Bigelow & Kimbr.) Pegler, Lodge & Nakasone",Biannulariaceae,cogumelo-titã,"PR, RN, SP",Data Deficient (DD),Naturally occurring,No,Does not exist,0,0
116,mushrooms,Agaricus meijeri Heinem.,Agaricaceae,,"PR, RS",Data Deficient (DD),Native,No,Does not exist,0,0
117,mushrooms,Agaricus subrufescens Peck,Agaricaceae,cogumelo-do-sol,"PR, RS, SP",Data Deficient (DD),Naturally occurring,Yes ,Does not exist,0,1
118,mushrooms,Amanita craseoderma Bas,Amanitaceae,,"AM, RO",Data Deficient (DD),Native,No,Does not exist,0,0
119,mushrooms,Amauroderma omphalodes (Berk.) Torrend,Polyporaceae,,"AL, AM, BA, MG, MS, MT, PA, PE, PR, RJ, RO, SC, SP",Not Evaluated (NE),Native,No,Does not exist,0,0
120,mushrooms,Arachnion album Schwein.,Agaricaceae,bola-de-terra-granular,"PE, PR, RS, SP",Data Deficient (DD),Naturally occurring,No,Does not exist,0,0
121,mushrooms,Armillaria puiggarii Speg.,Physalacriaceae,,"RS, SP",Data Deficient (DD),Native,No,Does not exist,0,0
122,mushrooms,Auricularia fuscosuccinea (Mont.) Henn.,Auriculariaceae,orelha-de-macaco,"AC, AM, GO, MT, PA, PB, PE, PR, RJ, RO, RS, SC, SP",Not Evaluated (NE),Naturally occurring,No,Does not exist,0,0
123,mushrooms,Auricularia tremellosa (Fr.) Pat,Auriculariaceae,,"AC, AM, GO, MA",Not Evaluated (NE),Naturally occurring,No,Does not exist,0,0
124,mushrooms,Boletinellus rompelii (Pat. & Rick) Watling,Boletinellaceae,,"DF, PR, RS, SP",Not Evaluated (NE),Native,No,Does not exist,0,0
125,mushrooms,Boletus edulis Bull.,Boletaceae,porcini,"RS, SP",Least Concern (LC),Exotic,No,Does not exist,0,31
126,mushrooms,Bresadolia paradoxa Speg.,Polyporaceae,fígado-de-anta,"RS, RR, SP",Data Deficient (DD),Naturally occurring,No,Does not exist,0,0
127,mushrooms,Cantharellus guyanensis Mont.,Hydnaceae,,"AM, PB, PE, PR, SC, SP",Least Concern (LC),Naturally occurring,No,Does not exist,0,0
128,mushrooms,Clavulinopsis laeticolor (Berk. & M.A. Curtis) R.H. Petersen,Clavariaceae,,"RS, SC ",Data Deficient (DD),Naturally occurring,No,Does not exist,0,0
129,mushrooms,Cookeina colensoi (Berk.) Seaver,Sarcoscyphaceae,taça-de-elfo,"BA, MT, PR, RS, SC, SP",Data Deficient (DD),Naturally occurring,No,Does not exist,0,0
130,mushrooms,Cookeina tricholoma (Mont.) Kuntze,Sarcoscyphaceae,taça-de-elfo-peluda,"BA, AM, MA, PA, PR, RJ, SC, SP",Data Deficient (DD),Native,No,Does not exist,0,0
131,mushrooms,Cookeina venezuelae (Berk. & M.A. Curtis) Le Gal,Sarcoscyphaceae,,"PR, SP",Data Deficient (DD),Naturally occurring,No,Does not exist,0,0
132,mushrooms,"Coprinellus radians (Fr.) Vilgalys, Hopple & Jacq. Johnson",Psathyrellaceae,,"MG, RS",Data Deficient (DD),Naturally occurring,No,Does not exist,0,0
133,mushrooms,Coprinus comatus (O.F. Müll.) Pers.,Agaricaceae,"chapéu-de-tinta, cogumelo-tinteiro","PR, RS, SP",Least Concern (LC),Naturally occurring,Yes ,Does not exist,0,0
134,mushrooms,Cotylidia aurantiaca (Pat.) A.L. Welden,Rickenellaceae,,"AM, PA, PR, RJ, RS, SP",Data Deficient (DD),Native,No,Does not exist,0,0
135,mushrooms,Cymatoderma dendriticum (Pers.) D.A. Reid,Panaceae,,"PB, PE, PR, SE, RS, SC, SP",Data Deficient (DD),Naturally occurring,No,Does not exist,0,0
136,mushrooms,Dactylosporina steffenii (Rick) Dörfelt,Physalacriaceae,cogumelo-de-raiz,"PE, PR, RS, SP",Not Evaluated (NE),Native,No,Does not exist,0,0
137,mushrooms,Favolus radiatifibrillosus Palacio & Silveira,Polyporaceae,,"AC, AM, BA, PA, RR, RS, SP",Data Deficient (DD),Native,No,Does not exist,0,0
138,mushrooms,Favolus rugulosus Palacio & Silveira,Polyporaceae,,"PR, RS, SP",Data Deficient (DD),Native,No,Does not exist,0,0
139,mushrooms,Favolus yanomamii Palacio & Menolli,Polyporaceae,,"AM, ES, MT, PA, RO",Data Deficient (DD),Native,No,Does not exist,0,1
140,mushrooms,Gyroporus austrobrasiliensis A.C. Magnago,Gyroporaceae,,RS,Not Evaluated (NE),Native,No,Does not exist,0,0
141,mushrooms,Irpex lacteus (Fr.) Fr.,Irpicaceae,,"AP, MS, PA, PE, PR, RS, SC, SP",Data Deficient (DD),Naturally occurring,No,Does not exist,0,0
142,mushrooms,Laccaria lateritia Malençon,Hydnangiaceae,,"SC, SP ",Data Deficient (DD),Exotic,No,Does not exist,0,0
143,mushrooms,Lactarius hepaticus Plowr.,Russulaceae,,SP,Data Deficient (DD),Exotic,No,Does not exist,0,0
144,mushrooms,Lactarius quieticolor Romagn.,Russulaceae,,RS,Data Deficient (DD),Exotic,No,Does not exist,0,0
145,mushrooms,Laetiporus gilbertsonii Burds.,Laetiporaceae,frango-da-mata,"ES, SP",Data Deficient (DD),Naturally occurring,No,Does not exist,0,0
146,mushrooms,Lentinula boryana (Berk. & Mont.) Pegler,Omphalotaceae,,"BA, PR, RS, SP",Data Deficient (DD),Native,No,Does not exist,0,0
147,mushrooms,Lentinula raphanica (Murrill) Mata & R.H. Petersen,Omphalotaceae,,"AM, SP",Not Evaluated (NE),Naturally occurring,No,Does not exist,0,3
148,mushrooms,Lentinus berteroi (Fr.) Fr.,Polyporaceae,ânus-peludo,"AM, CE, MG, PE, PR, RJ, RN, RR, RS, SP",Data Deficient (DD),Naturally occurring,No,Does not exist,0,0
149,mushrooms,Lentinus crinitus (L.) Fr.,Polyporaceae,ânus-peludo,"AL, AP, AM, BA, DF, ES, MS, MT, PA, PB, PE, PR, RJ, RN, RO, RR, RS, SC, SE, SP",Data Deficient (DD),Naturally occurring,No,Does not exist,0,0
150,mushrooms,Lentinus scleropus (Pers.) Fr.,Polyporaceae,,"AM, RS, SP",Data Deficient (DD),Native,No,Does not exist,0,0
151,mushrooms,Lentinus swartzii Berk.,Polyporaceae,,"AM, BA, MG, MS, MT, PE, SP, RJ",Data Deficient (DD),Native,No,Does not exist,0,0
152,mushrooms,Lepista sordida (Schumach.) Singer,incertae sedis,fungo-de-pé-roxo,"PR, RJ, RS, SP",Data Deficient (DD),Naturally occurring,No,Does not exist,0,0
153,mushrooms,Macrocybe praegrandis (Berk.) Pegler & Lodge,Biannulariaceae,,"PB, PE, MG, MT, SP, RS",Data Deficient (DD),Native,No,Does not exist,0,0
